condition,compound_key,source_ids,review_reasons,candidate_count,hidden_positive_count,marginal_first_hit,bounded_first_hit,unbounded_first_hit,bounded_delay_vs_marginal,unbounded_delay_vs_marginal,bounded_audc_difference,unbounded_audc_difference,marginal_first_target_key,marginal_first_target_id,marginal_first_target_name,bounded_first_target_key,bounded_first_target_id,bounded_first_target_name,unbounded_first_target_key,unbounded_first_target_id,unbounded_first_target_name
pkis1_gt90_leave10_nearest,V0151,CHEMBL1956068,unbounded_delay_ge_10;large_bounded_loss,200,5,2,11,21,9,19,-0.44999999999999996,-0.95,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,CENSORED,CENSORED,CENSORED
pkis1_gt90_leave10_nearest,V0173,CHEMBL1794062,unbounded_delay_ge_10;large_bounded_loss,200,1,4,13,18,9,14,-0.44999999999999996,-0.7,P0011,CHEMBL1936,Stem cell growth factor receptor,P0011,CHEMBL1936,Stem cell growth factor receptor,P0011,CHEMBL1936,Stem cell growth factor receptor
pkis1_gt90_leave10_nearest,V0201,CHEMBL374060,large_bounded_gain,200,1,12,6,6,-6,-6,0.3,0.3,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_leave10_nearest,V0202,CHEMBL218088,large_bounded_gain,200,1,14,6,6,-8,-8,0.4,0.4,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_leave10_nearest,V0254,CHEMBL1909342,large_bounded_gain,200,1,16,7,5,-9,-11,0.44999999999999996,0.55,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_leave10_nearest,V0332,CHEMBL1794050,large_bounded_gain,199,2,12,5,5,-7,-7,0.35000000000000003,0.35000000000000003,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_scaffold,V0058,CHEMBL220465,unbounded_delay_ge_10;large_bounded_loss,200,1,4,13,21,9,17,-0.44999999999999996,-0.85,P0132,CHEMBL4501,Ribosomal protein S6 kinase 1,P0132,CHEMBL4501,Ribosomal protein S6 kinase 1,CENSORED,CENSORED,CENSORED
pkis1_gt90_scaffold,V0068,CHEMBL1909362,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,CENSORED,CENSORED,CENSORED
pkis1_gt90_scaffold,V0096,CHEMBL1909371,unbounded_delay_ge_10;large_bounded_loss,200,1,2,11,21,9,19,-0.44999999999999996,-0.95,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,CENSORED,CENSORED,CENSORED
pkis1_gt90_scaffold,V0106,CHEMBL66004,large_bounded_gain,200,1,19,10,7,-9,-12,0.45000000000000007,0.6,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
