condition,comparison_name,dataset,comparison,metric,n,estimate,ci95,permutation_p_two_sided,holm_p_across_8_conditions
klaeger_leave10_nearest,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_20,111,0.0,"[-0.02702702702702703, 0.02702702702702703]",1.0,1.0
klaeger_primary_standard,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,audc_1_20,111,0.013063063063063056,"[0.00045045045045044786, 0.025675675675675677]",0.05235947640523595,0.22489775102248977
klaeger_primary_standard,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_1,111,0.0,"[0.0, 0.0]",1.0,1.0
klaeger_primary_standard,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_3,111,0.018018018018018018,"[-0.036036036036036036, 0.07207207207207207]",0.7519124808751912,1.0
klaeger_primary_standard,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_5,111,0.04504504504504504,"[-0.009009009009009009, 0.0990990990990991]",0.17852821471785282,0.8926410735892641
klaeger_primary_standard,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_10,111,0.018018018018018018,"[0.0, 0.04504504504504504]",0.5008949910500895,1.0
klaeger_primary_standard,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_20,111,0.009009009009009009,"[0.0, 0.02702702702702703]",1.0,1.0
klaeger_primary_standard,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,audc_1_20,111,0.01216216216216216,"[-0.009459459459459462, 0.03513513513513512]",0.32840671593284065,0.9776902230977691
klaeger_primary_standard,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_1,111,0.0,"[0.0, 0.0]",1.0,1.0
klaeger_primary_standard,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_3,111,0.009009009009009009,"[0.0, 0.02702702702702703]",1.0,1.0
klaeger_primary_standard,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_5,111,0.009009009009009009,"[0.0, 0.02702702702702703]",1.0,1.0
klaeger_primary_standard,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_10,111,0.02702702702702703,"[-0.009009009009009009, 0.07207207207207207]",0.37548624513754864,1.0
klaeger_primary_standard,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_20,111,0.009009009009009009,"[-0.018018018018018018, 0.04504504504504504]",1.0,1.0
klaeger_scaffold_exclusion,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,audc_1_20,111,0.013513513513513506,"[0.0009009009009008997, 0.02657657657657657]",0.04497955020449795,0.22489775102248977
klaeger_scaffold_exclusion,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_1,111,0.0,"[0.0, 0.0]",1.0,1.0
klaeger_scaffold_exclusion,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_3,111,0.02702702702702703,"[-0.02702702702702703, 0.09009009009009009]",0.5482545174548255,1.0
klaeger_scaffold_exclusion,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_5,111,0.04504504504504504,"[-0.009009009009009009, 0.0990990990990991]",0.1813381866181338,0.8926410735892641
klaeger_scaffold_exclusion,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_10,111,0.018018018018018018,"[0.0, 0.04504504504504504]",0.5007749922500775,1.0
klaeger_scaffold_exclusion,bounded_minus_marginal,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_20,111,0.009009009009009009,"[0.0, 0.02702702702702703]",1.0,1.0
klaeger_scaffold_exclusion,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,audc_1_20,111,0.01216216216216216,"[-0.009459459459459462, 0.035585585585585576]",0.3258967410325897,0.9776902230977691
klaeger_scaffold_exclusion,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_1,111,0.0,"[0.0, 0.0]",1.0,1.0
klaeger_scaffold_exclusion,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_3,111,0.009009009009009009,"[0.0, 0.02702702702702703]",1.0,1.0
klaeger_scaffold_exclusion,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_5,111,0.009009009009009009,"[0.0, 0.02702702702702703]",1.0,1.0
klaeger_scaffold_exclusion,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_10,111,0.02702702702702703,"[-0.009009009009009009, 0.07207207207207207]",0.37371626283737164,1.0
klaeger_scaffold_exclusion,bounded_minus_unbounded,KLAEGER_CHEMBL30,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_20,111,0.009009009009009009,"[-0.018018018018018018, 0.04504504504504504]",1.0,1.0
pkis2_gt80_sensitivity,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,audc_1_20,640,0.0006249999999999999,"[-0.007499999999999998, 0.008359375]",0.8932110678893211,0.8932110678893211
pkis2_gt80_sensitivity,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
pkis2_gt80_sensitivity,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_3,640,0.0125,"[-0.00625, 0.03125]",0.2703772962270377,1.0
pkis2_gt80_sensitivity,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_5,640,-0.003125,"[-0.0203125, 0.0140625]",0.8572114278857211,0.8926410735892641
pkis2_gt80_sensitivity,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_10,640,0.0,"[-0.0171875, 0.0171875]",1.0,1.0
pkis2_gt80_sensitivity,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_20,640,0.0015625,"[-0.0046875, 0.009375]",1.0,1.0
pkis2_gt80_sensitivity,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,audc_1_20,640,0.027421874999999995,"[0.014296874999999997, 0.041171875000000004]",6.999930000699993e-05,0.0005599944000559995
pkis2_gt80_sensitivity,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
pkis2_gt80_sensitivity,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_3,640,0.0171875,"[0.0046875, 0.03125]",0.013179868201317987,0.1054389456105439
pkis2_gt80_sensitivity,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_5,640,0.0125,"[-0.003125, 0.028125]",0.16759832401675984,0.8379916200837991
pkis2_gt80_sensitivity,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_10,640,0.0296875,"[0.0125, 0.0484375]",0.0027999720002799973,0.02239977600223998
pkis2_gt80_sensitivity,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_20,640,0.0359375,"[0.0140625, 0.0578125]",0.001959980400195998,0.015679843201567983
pkis2_gt90_chemotype,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,audc_1_20,640,0.04328124999999999,"[0.032109374999999996, 0.05445312499999999]",9.99990000099999e-06,7.999920000799993e-05
pkis2_gt90_chemotype,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
pkis2_gt90_chemotype,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_3,640,0.071875,"[0.05, 0.0953125]",9.99990000099999e-06,7.999920000799993e-05
pkis2_gt90_chemotype,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_5,640,0.0328125,"[0.0140625, 0.053125]",0.0014099859001409985,0.00986990130098699
