condition,comparison,n,estimate,ci95,permutation_p_two_sided,mean_assays_earlier,wins,losses,ties,large_advance_ge_10,large_delay_ge_10,ci95_low,ci95_high,p_holm_4_bounded_conditions
construct__gt90__standard,bounded_minus_marginal,640,0.0052343749999999994,"[-0.0024218750000000004, 0.013046875]",0.1999780002199978,0.1046875,73,42,525,0,0,-0.0024218750000000004,0.013046875,0.3999560004399956
construct__gt90__standard,unbounded_minus_marginal,640,-0.01328125,"[-0.029218750000000005, 0.0024218749999999982]",0.10206897931020689,-0.265625,72,62,506,15,28,-0.029218750000000005,0.0024218749999999982,
construct__gt80__standard,bounded_minus_marginal,640,0.0010156250000000013,"[-0.006562499999999997, 0.008515625000000002]",0.8086419135808642,0.0203125,58,42,540,0,0,-0.006562499999999997,0.008515625000000002,0.8086419135808642
construct__gt80__standard,unbounded_minus_marginal,640,-0.024375,"[-0.04046875, -0.008046875]",0.0033799662003379965,-0.4875,57,66,517,11,34,-0.04046875,-0.008046875,
construct__gt90__scaffold,bounded_minus_marginal,640,0.010937499999999998,"[0.002578124999999997, 0.019296874999999998]",0.011409885901140988,0.21875,104,46,490,0,0,0.002578124999999997,0.019296874999999998,0.03422965770342296
construct__gt90__scaffold,unbounded_minus_marginal,640,-0.00039062500000000067,"[-0.017656250000000002, 0.016408203124999972]",0.970440295597044,-0.0078125,113,62,465,23,29,-0.017656250000000002,0.016408203124999972,
construct__gt90__chemotype,bounded_minus_marginal,640,0.044218749999999994,"[0.03359374999999999, 0.05539062499999999]",9.99990000099999e-06,0.884375,169,28,443,0,0,0.03359374999999999,0.05539062499999999,3.999960000399996e-05
construct__gt90__chemotype,unbounded_minus_marginal,640,0.05515625,"[0.0353125, 0.07499999999999998]",9.99990000099999e-06,1.103125,190,44,406,54,23,0.0353125,0.07499999999999998,
